"Отметка времени","Какими типами мыла вы пользуетесь на постоянной основе? ","Какую марку мыла вы предпочитаете? ","На что вы смотрите при выборе мыла?","Какую цену для классического мыла вы считаете приемлемой?(135г) ","Какую цену для натурального мыла ручной работы вы считаете приемлемой? (150г)","Какую цену для эксклюзивного мыла ручной работы вы считаете приемлемой?"
"2020/10/12 1:01:12 AM GMT+3","Классическое гигиеническое;Жидкое;Ручной работы","Dove;Synergetic;LUSH","Цена;Запах;Тактильные ощущения","до 50 рублей","от 100 до 200 рублей","от 200 до 300 рублей"
"2020/10/12 1:02:45 AM GMT+3","Классическое гигиеническое;Жидкое;Хозяйственное","Dove;Synergetic;Palmolive;Чистая линия","Цена;Запах;Полезные свойства;Внешний вид","до 50 рублей","от 200 до 300 рублей","свыше 400 рублей"
"2020/10/12 1:05:33 AM GMT+3","Жидкое;Хозяйственное","Мне все равно на бренд","Цена;Тактильные ощущения","до 50 рублей","до 100 рублей","от 100 до 200 рублей"
"2020/10/12 1:06:09 AM GMT+3","Классическое гигиеническое;Жидкое;Хозяйственное;Пилинговое/Скрабовое;антибактериальное","Dove;Safeguard;Мне все равно на бренд","Запах","от 50 до 100 рублей","от 100 до 200 рублей","от 100 до 200 рублей"
"2020/10/12 1:06:10 AM GMT+3","Классическое гигиеническое","Dove;Palmolive;Чистая линия","Запах;Полезные свойства;Внешний вид","от 50 до 100 рублей","от 200 до 300 рублей","от 200 до 300 рублей"
"2020/10/12 1:06:25 AM GMT+3","Классическое гигиеническое","Мне все равно на бренд","Цена;Запах;Полезные свойства","до 50 рублей","до 100 рублей","от 100 до 200 рублей"
"2020/10/12 1:06:51 AM GMT+3","Классическое гигиеническое;Детское","Мне все равно на бренд","Цена;Полезные свойства;Внешний вид","от 50 до 100 рублей","от 100 до 200 рублей","от 200 до 300 рублей"
"2020/10/12 1:07:04 AM GMT+3","Классическое гигиеническое;Детское","Dove;Мне все равно на бренд","Цена;Внешний вид","от 50 до 100 рублей","свыше 300 рублей","свыше 400 рублей"
"2020/10/12 1:07:05 AM GMT+3","Жидкое","Мне все равно на бренд","Цена;Запах;Внешний вид","до 50 рублей","до 100 рублей","от 200 до 300 рублей"
"2020/10/12 1:07:43 AM GMT+3","Жидкое","Мне все равно на бренд","Запах","от 50 до 100 рублей","от 100 до 200 рублей","от 200 до 300 рублей"
"2020/10/12 1:07:48 AM GMT+3","Классическое гигиеническое;Жидкое","Мне все равно на бренд","Цена;Запах;Полезные свойства;Тактильные ощущения","от 50 до 100 рублей","от 200 до 300 рублей","свыше 400 рублей"
"2020/10/12 1:07:56 AM GMT+3","Классическое гигиеническое;Жидкое;Ручной работы","Dove;Бархатные ручки","Цена;Запах;Тактильные ощущения","от 50 до 100 рублей","от 100 до 200 рублей","от 200 до 300 рублей"
"2020/10/12 1:08:31 AM GMT+3","Классическое гигиеническое;Хозяйственное","Мне все равно на бренд","Цена","до 50 рублей","от 100 до 200 рублей","от 300 до 400 рублей"
"2020/10/12 1:08:36 AM GMT+3","Классическое гигиеническое;Жидкое","Мне все равно на бренд","Цена;чтобы сложнее уронить было","до 50 рублей","до 100 рублей","до 100 рублей"
"2020/10/12 1:09:18 AM GMT+3","Жидкое;Хозяйственное","Мне все равно на бренд","","до 50 рублей","до 100 рублей","до 100 рублей"
"2020/10/12 1:09:34 AM GMT+3","Классическое гигиеническое;Жидкое;Хозяйственное;Мыло для бритья","Dove;Рецепты бабушки Агафьи;Palmolive;Чистая линия;LUSH","Запах;Внешний вид","до 50 рублей","от 100 до 200 рублей","свыше 400 рублей"
"2020/10/12 1:09:42 AM GMT+3","Классическое гигиеническое","Palmolive","Цена;Запах","до 50 рублей","от 100 до 200 рублей","от 300 до 400 рублей"
"2020/10/12 1:09:54 AM GMT+3","Классическое гигиеническое","Мне все равно на бренд","Цена;Запах","от 50 до 100 рублей","от 100 до 200 рублей","от 200 до 300 рублей"
"2020/10/12 1:10:29 AM GMT+3","Классическое гигиеническое;Хозяйственное;Детское","Мне все равно на бренд","Запах;Внешний вид","от 50 до 100 рублей","от 100 до 200 рублей","от 100 до 200 рублей"
"2020/10/12 1:10:36 AM GMT+3","Классическое гигиеническое;Жидкое;Пилинговое/Скрабовое","Palmolive;Bath and Body Works","Запах;Полезные свойства","от 100 до 200 рублей","от 200 до 300 рублей","от 300 до 400 рублей"
"2020/10/12 1:12:17 AM GMT+3","Классическое гигиеническое;Жидкое","Dove","Цена;Запах;Тактильные ощущения","от 50 до 100 рублей","от 200 до 300 рублей","от 300 до 400 рублей"
"2020/10/12 1:12:23 AM GMT+3","Хозяйственное;Дегтярное","Мне все равно на бренд","Цена;Запах","до 50 рублей","до 100 рублей","от 100 до 200 рублей"
"2020/10/12 1:13:46 AM GMT+3","Жидкое;Пилинговое/Скрабовое","Мне все равно на бренд","Запах;Полезные свойства;Тактильные ощущения","до 50 рублей","от 100 до 200 рублей","от 200 до 300 рублей"
"2020/10/12 1:14:40 AM GMT+3","Жидкое","Dove;Palmolive","Запах;Внешний вид","от 50 до 100 рублей","от 200 до 300 рублей","от 300 до 400 рублей"
"2020/10/12 1:15:59 AM GMT+3","Классическое гигиеническое;Жидкое;Хозяйственное;Ручной работы","Мне все равно на бренд","Цена;Запах;Полезные свойства","от 50 до 100 рублей","от 100 до 200 рублей","от 200 до 300 рублей"
"2020/10/12 1:17:50 AM GMT+3","Классическое гигиеническое;Хозяйственное","Мне все равно на бренд","Цена;Запах","до 50 рублей","до 100 рублей","от 100 до 200 рублей"
"2020/10/12 1:18:45 AM GMT+3","Классическое гигиеническое;Жидкое;Хозяйственное","Dove;Palmolive;Мне все равно на бренд","Цена;Запах;Тактильные ощущения","от 50 до 100 рублей","от 100 до 200 рублей","от 200 до 300 рублей"
"2020/10/12 1:20:39 AM GMT+3","Детское","Dove","","от 100 до 200 рублей","от 200 до 300 рублей","свыше 400 рублей"
"2020/10/12 1:22:26 AM GMT+3","Классическое гигиеническое","Dove;Бархатные ручки;Palmolive","Цена;Запах;Внешний вид","до 50 рублей","от 200 до 300 рублей","свыше 400 рублей"
"2020/10/12 1:24:28 AM GMT+3","Классическое гигиеническое;Жидкое","Лента","Цена","до 50 рублей","до 100 рублей","Не считаю эксклюзивное мыло нормой"
"2020/10/12 1:27:27 AM GMT+3","Классическое гигиеническое;Жидкое;Хозяйственное","Dove;Бархатные ручки","Цена;Запах;Внешний вид","от 50 до 100 рублей","от 200 до 300 рублей","от 300 до 400 рублей"
